Date	Price	Open	High	Low	Change %
25-Jan-16	"13,872.50"	"13,812.50"	"13,872.50"	"13,812.50"	0.16
22-Jan-16	"13,850.00"	"13,855.00"	"13,888.00"	"13,844.00"	-0.43
21-Jan-16	"13,910.00"	"13,908.00"	"13,928.00"	"13,863.00"	-0.36
20-Jan-16	"13,960.00"	"13,870.00"	"13,960.00"	"13,870.00"	0.58
19-Jan-16	"13,880.00"	"13,905.00"	"13,927.00"	"13,845.00"	-0.38
18-Jan-16	"13,932.50"	"13,902.50"	"13,952.50"	"13,902.50"	0.27
15-Jan-16	"13,894.50"	"13,814.50"	"13,914.50"	"13,814.50"	-0.11
14-Jan-16	"13,910.00"	"13,835.00"	"13,965.00"	"13,815.00"	0.6
13-Jan-16	"13,827.50"	"13,862.50"	"13,882.50"	"13,827.50"	-0.59
12-Jan-16	"13,910.00"	"13,855.00"	"13,910.00"	"13,810.00"	0.25
11-Jan-16	"13,875.00"	"13,915.00"	"13,955.00"	"13,870.00"	-0.34
8-Jan-16	"13,922.50"	"13,907.50"	"13,922.50"	"13,852.50"	-0.04
7-Jan-16	"13,927.50"	"13,922.50"	"13,977.50"	"13,862.50"	-0.14
6-Jan-16	"13,947.50"	"13,817.50"	"13,947.50"	"13,802.50"	0.61
5-Jan-16	"13,862.50"	"13,947.50"	"13,962.50"	"13,787.50"	-0.38
4-Jan-16	"13,915.00"	"13,805.00"	"13,920.00"	"13,805.00"	0.92
1-Jan-16	"13,787.50"	"13,787.50"	"13,787.50"	"13,787.50"	0
31-Dec-15	"13,787.50"	"13,772.50"	"13,817.50"	"13,772.50"	0.04
30-Dec-15	"13,782.50"	"13,722.50"	"13,822.50"	"13,722.50"	0.27
29-Dec-15	"13,745.00"	"13,635.00"	"13,753.00"	"13,635.00"	0.7
28-Dec-15	"13,650.00"	"13,605.00"	"13,665.00"	"13,605.00"	0.05
25-Dec-15	"13,642.50"	"13,642.50"	"13,642.50"	"13,642.50"	0
24-Dec-15	"13,642.50"	"13,642.50"	"13,642.50"	"13,642.50"	0
23-Dec-15	"13,642.50"	"13,602.50"	"13,672.50"	"13,602.50"	-0.24
22-Dec-15	"13,675.00"	"13,635.00"	"13,695.00"	"13,535.00"	-0.71
21-Dec-15	"13,772.50"	"13,862.50"	"13,922.50"	"13,732.50"	-1.04
18-Dec-15	"13,917.50"	"14,007.50"	"14,036.50"	"13,902.50"	-0.64
17-Dec-15	"14,006.50"	"14,011.50"	"14,056.50"	"14,001.50"	-0.45
16-Dec-15	"14,069.50"	"14,034.50"	"14,074.50"	"14,033.50"	0.09
15-Dec-15	"14,056.50"	"14,051.50"	"14,073.50"	"14,026.50"	-0.15
14-Dec-15	"14,077.50"	"14,022.50"	"14,092.50"	"14,002.50"	0.93
11-Dec-15	"13,947.50"	"13,912.50"	"13,950.50"	"13,902.50"	0.09
10-Dec-15	"13,935.00"	"13,930.00"	"13,979.00"	"13,845.00"	0.45
9-Dec-15	"13,872.50"	"13,872.50"	"13,872.50"	"13,872.50"	0
8-Dec-15	"13,872.50"	"13,842.50"	"13,875.50"	"13,837.50"	0.22
7-Dec-15	"13,842.50"	"13,802.50"	"13,852.50"	"13,802.50"	0.08
